Metric,Category,Model,Mean,Std,Median,Min,Max,Count
F1 Score,Chart Marks,DeepSeek,0.9163015039808798,0.21237869069759355,1.0,0.0,1.0,772
F1 Score,Chart Marks,OpenAI,0.8445293312399893,0.3082651163702904,1.0,0.0,1.0,772
F1 Score,Axis Labels,DeepSeek,0.7975390171069714,0.37371912117852407,1.0,0.0,1.0,772
F1 Score,Axis Labels,OpenAI,0.7958767420940773,0.3658794815567986,1.0,0.0,1.0,772
F1 Score,Axis Titles,DeepSeek,0.8655609211600144,0.3291972483104637,1.0,0.0,1.0,772
F1 Score,Axis Titles,OpenAI,0.8344123061739643,0.3668048595927566,1.0,0.0,1.0,772
F1 Score,Legend Labels,DeepSeek,0.8529011392001316,0.35237541478180423,1.0,0.0,1.0,772
F1 Score,Legend Labels,OpenAI,0.8141142413555852,0.3866740513980172,1.0,0.0,1.0,772
F1 Score,Legend Marks,DeepSeek,0.7828742299414184,0.4081635817099177,1.0,0.0,1.0,772
F1 Score,Legend Marks,OpenAI,0.7969807487886847,0.39599805936061716,1.0,0.0,1.0,772
F1 Score,Legend Titles,DeepSeek,0.831174438687392,0.3744559615295112,1.0,0.0,1.0,772
F1 Score,Legend Titles,OpenAI,0.9451640759930916,0.22717381559545732,1.0,0.0,1.0,772
Precision,Chart Marks,DeepSeek,0.9277206009860363,0.2100964046300392,1.0,0.0,1.0,772
Precision,Chart Marks,OpenAI,0.8915801574187074,0.2851980988505199,1.0,0.0,1.0,772
Precision,Axis Labels,DeepSeek,0.8118422284805495,0.37558672917271935,1.0,0.0,1.0,772
Precision,Axis Labels,OpenAI,0.8221011422219641,0.3638746273288046,1.0,0.0,1.0,772
Precision,Axis Titles,DeepSeek,0.8667530224525043,0.3311210521869638,1.0,0.0,1.0,772
Precision,Axis Titles,OpenAI,0.8339378238341968,0.3681664608485865,1.0,0.0,1.0,772
Precision,Legend Labels,DeepSeek,0.8544617156016119,0.3512225434182129,1.0,0.0,1.0,772
Precision,Legend Labels,OpenAI,0.8170676977024128,0.3854823849779598,1.0,0.0,1.0,772
Precision,Legend Marks,DeepSeek,0.7807026069584644,0.40916954504397246,1.0,0.0,1.0,772
Precision,Legend Marks,OpenAI,0.7956966033390904,0.3977356598558288,1.0,0.0,1.0,772
Precision,Legend Titles,DeepSeek,0.8309585492227979,0.37459894797030674,1.0,0.0,1.0,772
Precision,Legend Titles,OpenAI,0.9449481865284974,0.2275177561163054,1.0,0.0,1.0,772
Recall,Chart Marks,DeepSeek,0.9405381219717186,0.20318189313482374,1.0,0.0,1.0,772
Recall,Chart Marks,OpenAI,0.8484971307126705,0.3170577602311001,1.0,0.0,1.0,772
Recall,Axis Labels,DeepSeek,0.8096972015038975,0.3753101195911706,1.0,0.0,1.0,772
Recall,Axis Labels,OpenAI,0.7988647007209436,0.373686792378266,1.0,0.0,1.0,772
Recall,Axis Titles,DeepSeek,0.8715230433596945,0.3298908549612762,1.0,0.0,1.0,772
Recall,Axis Titles,OpenAI,0.8379533678756477,0.3669871839088715,1.0,0.0,1.0,772
Recall,Legend Labels,DeepSeek,0.8535263028036412,0.35292079415552446,1.0,0.0,1.0,772
Recall,Legend Labels,OpenAI,0.8141263918371258,0.38705742307029056,1.0,0.0,1.0,772
Recall,Legend Marks,DeepSeek,0.7883203799654576,0.40775991816558,1.0,0.0,1.0,772
Recall,Legend Marks,OpenAI,0.8024160110658894,0.39521743261482495,1.0,0.0,1.0,772
Recall,Legend Titles,DeepSeek,0.8316062176165803,0.37445820487558445,1.0,0.0,1.0,772
Recall,Legend Titles,OpenAI,0.9455958549222798,0.22696047727477456,1.0,0.0,1.0,772
