Continent,Life expectancy group
Africa,below60
Africa,below60
Africa,below60
Asia,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,below60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Australia,above60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Australia,above60
Africa,above60
Africa,above60
Africa,above60
Australia,above60
Africa,above60
Africa,above60
North America,above60
Africa,above60
Australia,above60
Africa,above60
Africa,above60
Africa,above60
Africa,above60
Australia,above60
Africa,above60
Asia,above60
Africa,above60
Asia,above60
South America,above60
Australia,above60
Asia,above60
Asia,above60
Asia,above60
Asia,above60
Africa,above60
Africa,above60
Asia,above60
Africa,above60
Africa,above60
Asia,above60
Australia,above60
Asia,above60
Asia,above60
Africa,above60
Asia,above60
Asia,above60
Asia,above60
Asia,above60
Asia,above60
Europe,above60
Europe,above60
Asia,above60
North America,above60
Australia,above60
Europe,above60
Africa,above60
North America,above60
North America,above60
Asia,above60
South America,above60
Asia,above60
North America,above60
Australia,above60
Asia,above60
North America,above60
North America,above60
Asia,above60
Asia,above60
Asia,above60
North America,above60
North America,above60
Australia,above60
South America,above60
North America,above60
Europe,above60
Africa,above60
Africa,above60
South America,above60
South America,above60
Africa,above60
Asia,above60
Africa,above60
Asia,above60
Asia,above60
Asia,above60
North America,above60
South America,above60
Europe,above60
North America,above60
North America,above60
Europe,above60
Europe,above60
North America,above60
Asia,above60
Asia,above60
Europe,above60
Asia,above60
North America,above60
North America,above60
South America,above60
North America,above60
Europe,above60
Asia,above60
Africa,above60
North America,above60
Europe,above60
South America,above60
Europe,above60
South America,above60
Asia,above60
Europe,above60
Asia,above60
Asia,above60
Africa,above60
Europe,above60
Europe,above60
Europe,above60
Europe,above60
North America,above60
Europe,above60
South America,above60
North America,above60
North America,above60
Asia,above60
North America,above60
North America,above60
Europe,above60
Europe,above60
Asia,above60
Asia,above60
North America,above60
Asia,above60
South America,above60
South America,above60
Asia,above60
Asia,above60
Asia,above60
Asia,above60
North America,above60
Asia,above60
Europe,above60
Europe,above60
Europe,above60
Europe,above60
Asia,above60
Europe,above60
Europe,above60
Europe,above60
Asia,above60
Europe,above60
Europe,above60
Europe,above60
Australia,above60
North America,above60
Europe,above60
Europe,above60
Europe,above60
Europe,above60
Asia,above60
Europe,above60
Asia,above60
Europe,above60
Europe,above60
Europe,above60
Australia,above60
Europe,above60
Europe,above60
Asia,above60
Europe,above60
Asia,above60
Europe,above60
